dataset,column,classification,source_system,source_object,source_field,transformation,business_definition,keep_change_remove,notes
people_bronze.people_requisition / people_silver.people_requisition,status,SYNTHETIC_EXTENSION,greenhouse_v3,jobs / openings,status / closed_at,open/filled/closed with independent p,Req status,change,"Must follow Greenhouse job/opening status, not independent multinomial."
people_bronze.people_candidate / people_silver.people_candidate,source_system,SYNTHETIC_EXTENSION,globaltech_ats,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_candidate / people_silver.people_candidate,source_record_id,CANONICAL_KEY,globaltech_ats,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_candidate / people_silver.people_candidate,source_updated_at,SYNTHETIC_EXTENSION,globaltech_ats,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_candidate / people_silver.people_candidate,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_candidate / people_silver.people_candidate,candidate_id,CANONICAL_KEY,greenhouse_v3,candidates,id,CAND#######,Candidate person key,change,Must be Greenhouse candidate.id. Person grain only.
people_bronze.people_candidate / people_silver.people_candidate,requisition_id,UNJUSTIFIED,greenhouse_v3,applications,job_id,flattened onto candidate,Job applied to,remove,"Candidate 1→many Applications. job_id belongs on application, not candidate."
people_bronze.people_candidate / people_silver.people_candidate,applied_on,UNJUSTIFIED,greenhouse_v3,applications,applied_at / created_at,flattened onto candidate,Application date,remove,Application grain.
people_bronze.people_candidate / people_silver.people_candidate,current_stage,UNJUSTIFIED,greenhouse_v3,applications / application_stages,stage_id / current application_stage,independent stage sample on candidate,Current stage,remove,Current stage is the application_stages row with current=true. Do not store on candidate.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,source_system,SYNTHETIC_EXTENSION,globaltech_ats,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,source_record_id,CANONICAL_KEY,globaltech_ats,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,source_updated_at,SYNTHETIC_EXTENSION,globaltech_ats,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,stage_event_id,CANONICAL_KEY,greenhouse_v3,application_stages,id,candidate-stage string,Stage history key,change,Use application_stages.id.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,candidate_id,SOURCE_NESTED,greenhouse_v3,applications,candidate_id,via application,Candidate,change,Bronze stage row should carry application_id; candidate_id is reachable through application.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,requisition_id,UNJUSTIFIED,greenhouse_v3,applications,job_id,flattened,Job,remove,Use application.job_id.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,stage,SYNTHETIC_EXTENSION,greenhouse_v3,job_interview_stages,name,applied/screen/interview/offer,Stage name,change,Must be job_interview_stage_id; name comes from job_interview_stages.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,stage_entered_on,SOURCE_NATIVE,greenhouse_v3,application_stages,entered_at,applied_on + fixed 0/7/16/28,Entered stage,change,"Source field entered_at. Missing: application_id, job_interview_stage_id, exited_at, current, created_at, updated_at."
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,exited_at,UNJUSTIFIED,greenhouse_v3,application_stages,exited_at,not persisted,Left stage,change,Column is ABSENT today. Must be added from source. Do not persist Greenhouse days_in_stage as canonical.
people_bronze.people_candidate_stage / people_silver.people_candidate_stage,time_in_stage_days,DERIVED,greenhouse_v3,application_stages,"exited_at, entered_at",currently mean of consecutive entered dates or default 11.0,Time in stage,change,Canonical derivation timestamp_diff only. Greenhouse API also returns days_in_stage (source-computed); Bronze may store the raw payload but Silver must recompute from timestamps.
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,source_system,SYNTHETIC_EXTENSION,globaltech_ats,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,source_record_id,CANONICAL_KEY,globaltech_ats,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,source_updated_at,SYNTHETIC_EXTENSION,globaltech_ats,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,candidate_id,UNJUSTIFIED,greenhouse_v3,applications,id / candidate_id,"CAND0000001.. sequential, not the applied candidate",Hired candidate,remove,Joins hired workers to sequential candidate ids. Not a Greenhouse hire. Use application hired + identity crosswalk.
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,worker_id,CANONICAL_KEY,frappe_hr,Employee,name,sampled workers,New employee,change,Valid only via people_identity_crosswalk after Application Hired → Employee created.
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,hired_on,SOURCE_NATIVE,greenhouse_v3,applications,last_activity / hire endpoint timestamps,copied Employee hire_date,Hire date,change,Use Greenhouse hired application timestamps plus Frappe date_of_joining; do not copy independently.
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,requisition_id,UNJUSTIFIED,greenhouse_v3,applications,job_id,random REQ,Job hired into,remove,"Random requisition, not the application.job_id."
people_bronze.people_candidate_hire / people_silver.people_candidate_hire,applied_on,UNJUSTIFIED,greenhouse_v3,applications,applied_at,hire_date - 21 days,Applied date,remove,Invented constant lag.
people_gold.people_fact_worker_movement,(same as people_movement),UNJUSTIFIED,frappe_hr,Employee Transfer,transfer_date + transfer_details,copy of silver movement,Movement fact,remove,Gold must rebuild from Bronze + mappings. Current gold copies unjustified silver.
people_gold.people_fact_compensation,(same as people_compensation),SYNTHETIC_EXTENSION,frappe_hr,Salary Structure Assignment,base,copy of silver,Compensation fact,change,
people_gold.people_fact_learning,(same as people_learning_completion),UNJUSTIFIED,frappe_hr,Training Result,,copy of silver,Learning fact,change,
people_gold.people_fact_performance,(same as people_performance_review),SYNTHETIC_EXTENSION,frappe_hr,Appraisal,final_score,copy of silver,Performance fact,change,
people_gold.people_fact_engagement,(same as people_engagement_response),UNJUSTIFIED,,,,copy of silver,Engagement fact,remove,No source contract.
people_gold.people_fact_recruiting,(same as people_candidate),UNJUSTIFIED,greenhouse_v3,candidates,,flattened candidates as recruiting fact,Recruiting fact,remove,Violates Candidate vs Application grain.
people_dim_worker,worker_id,CANONICAL_KEY,frappe_hr,Employee,name,from silver worker,Worker key,change,
people_dim_worker,org_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,department,from silver,Org,change,
people_dim_worker,job_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,designation,from silver,Job,change,
people_dim_worker,location_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,branch,from silver,Location,change,
people_dim_worker,manager_worker_id,SOURCE_NATIVE,frappe_hr,Employee,reports_to,from silver,Manager,change,
people_dim_worker,hire_date,SOURCE_NATIVE,frappe_hr,Employee,date_of_joining,from silver,Hire date,change,
people_dim_worker,termination_date,SOURCE_NATIVE,frappe_hr,Employee,relieving_date,from silver,Termination date,change,
people_dim_worker,employment_status,SOURCE_NATIVE,frappe_hr,Employee,status,from silver,Status,change,
people_dim_worker,fte,UNJUSTIFIED,,,,from silver,FTE,remove,No Frappe source field.
people_dim_worker,effective_start,UNJUSTIFIED,frappe_hr,Employee,date_of_joining,copied hire_date,Dim SCD start,change,"SCD must be built from worker events, not hire copy."
people_dim_worker,effective_end,UNJUSTIFIED,frappe_hr,Employee,relieving_date,copied termination_date,Dim SCD end,change,
people_dim_worker,provenance,CANONICAL_KEY,people_pipeline,,,constant synthetic_internal,Provenance flag,change,After rebuild: frappe_hr + mappings.
people_dim_org,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,from silver org,Org key,change,
people_dim_org,org_name,SOURCE_NATIVE,frappe_hr,Department,department_name,from silver,Name,change,
people_dim_org,parent_org_id,SOURCE_NATIVE,frappe_hr,Department,parent_department,from silver,Parent,change,
people_dim_org,org_level,DERIVED,frappe_hr,Department,parent_department,from silver,Level,change,
people_dim_org,function_name,SYNTHETIC_EXTENSION,,,,from silver,Function,remove,
people_dim_org,region,UNJUSTIFIED,,,,from silver,Region,remove,
people_dim_org,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_dim_location,location_id,SYNTHETIC_EXTENSION,frappe_hr,Branch,name,from silver,Location key,change,
people_dim_location,location_name,SOURCE_NATIVE,frappe_hr,Branch,branch,from silver,Name,keep,
people_dim_location,country,UNJUSTIFIED,,,,from silver,Country,remove,Not on Branch.
people_dim_location,region,UNJUSTIFIED,,,,from silver,Region,remove,
people_dim_location,city,UNJUSTIFIED,,,,from silver,City,remove,
people_dim_location,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_dim_job,job_id,SYNTHETIC_EXTENSION,frappe_hr,Designation,name,from silver,Job key,change,
people_dim_job,job_title,SOURCE_NATIVE,frappe_hr,Designation,designation_name,from silver,Title,change,
people_dim_job,job_family,UNJUSTIFIED,,,,from silver,Family,remove,Not on Designation.
people_dim_job,job_level,SYNTHETIC_EXTENSION,frappe_hr,Employee Grade,name,from silver,Level,change,
people_dim_job,occupation_id,DERIVED,onet,Occupation Data,O*NET-SOC Code,from silver,SOC,change,Requires explicit map.
people_dim_job,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_dim_occupation,occupation_id,SOURCE_NATIVE,onet,Occupation Data.txt,O*NET-SOC Code,normalize strip .00,Occupation key,keep,Live public O*NET db_31_0.
people_dim_occupation,soc_code,SOURCE_NATIVE,onet,Occupation Data.txt,O*NET-SOC Code,identity,SOC code,keep,
people_dim_occupation,title,SOURCE_NATIVE,onet,Occupation Data.txt,Title,identity,Occupation title,keep,
people_dim_occupation,provenance,CANONICAL_KEY,onet,,,live_public,Provenance,keep,
people_dim_skill,skill_id,SOURCE_NATIVE,onet / frappe_hr,Essential Skills.txt / Skill,Element ID / name,onet_ prefix or synthetic skill_python,Skill key,change,Serving mixes O*NET skills and synthetic PEOPLE_SKILLS. Internal skills must come from Frappe Skill.
people_dim_skill,skill_name,SOURCE_NATIVE,onet / frappe_hr,Essential Skills.txt / Skill,Element Name / skill_name,identity,Skill name,change,
people_dim_skill,skill_category,SYNTHETIC_EXTENSION,,,,onet or technical/behavioral,Category,change,O*NET has its own taxonomy; synthetic categories are not source-native.
people_dim_skill,onet_reference,SOURCE_NATIVE,onet,Essential Skills.txt,Element ID,identity,O*NET element,keep,
people_dim_skill,provenance,CANONICAL_KEY,people_pipeline,,,live_public or synthetic_internal,Provenance,keep,
people_dim_company,company_id,UNJUSTIFIED,,,,acme_public / northwind_private seed,External company key,remove,Not Frappe Company. Seeded synthetic competitors. Out of HR source contracts. Do not use for People metrics.
people_dim_company,company_name,UNJUSTIFIED,,,,seed,Name,remove,
people_dim_company,ticker,UNJUSTIFIED,,,,seed,Ticker,remove,
people_dim_company,cik,UNJUSTIFIED,,,,unused,CIK,remove,
people_dim_company,industry,UNJUSTIFIED,,,,seed,Industry,remove,
people_dim_company,hq_country,UNJUSTIFIED,,,,seed,HQ,remove,
people_dim_company,public_private,UNJUSTIFIED,,,,seed,Listing flag,remove,
people_dim_company,employee_count_latest,UNJUSTIFIED,,,,seed,Headcount,remove,
people_dim_company,employee_count_source,UNJUSTIFIED,,,,unused,Source,remove,
people_dim_company,company_size_band,UNJUSTIFIED,,,,unused,Size band,remove,
people_dim_company,provenance,CANONICAL_KEY,,,,synthetic_internal,Provenance,remove,
people_mart_workforce_overview,as_of_month,DERIVED,frappe_hr,Employee,date_of_joining / relieving_date,month-end snapshot,Snapshot month,keep,Valid derivation once worker source is Frappe.
people_mart_workforce_overview,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,from worker.org_id,Org grain,change,
people_mart_workforce_overview,job_family,UNJUSTIFIED,,,,from job.job_family,Family grain,change,Cannot remain canonical until a documented family map exists. Interim: designation.
people_mart_workforce_overview,location_id,SYNTHETIC_EXTENSION,frappe_hr,Branch,name,from worker.location_id,Location grain,change,
people_mart_workforce_overview,headcount,DERIVED,frappe_hr,Employee,"status, date_of_joining, relieving_date",count active at month end,Headcount,keep,Rebuild from mapped worker.
people_mart_workforce_overview,fte,UNJUSTIFIED,,,,sum of worker.fte,FTE,remove,Worker FTE has no source.
people_mart_workforce_overview,hires,DERIVED,frappe_hr,Employee,date_of_joining,count hire_date in month,Hires,keep,
people_mart_workforce_overview,exits,DERIVED,frappe_hr,Employee,relieving_date,count termination_date in month,Exits,keep,
people_mart_workforce_overview,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_workforce_overview,metric_id,CANONICAL_KEY,people_pipeline,people_metric_definition,headcount,constant,Metric pointer,keep,"Governance, not a source field."
people_mart_retention,as_of_month,DERIVED,frappe_hr,Employee,relieving_date,month,Month,keep,
people_mart_retention,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,,Org,change,
people_mart_retention,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_retention,location_id,SYNTHETIC_EXTENSION,frappe_hr,Branch,name,,Location,change,
people_mart_retention,voluntary_exits,DERIVED,frappe_hr,Employee,reason_for_leaving / relieving_date,reason contains voluntary,Voluntary exits,change,"Reason vocabulary must come from Frappe, not generator labels."
people_mart_retention,beginning_headcount,DERIVED,frappe_hr,Employee,date_of_joining / relieving_date,prior month-end headcount,Beginning HC,keep,
people_mart_retention,voluntary_attrition_rate,DERIVED,frappe_hr,Employee,voluntary_exits / beginning_headcount,division,Attrition rate,keep,
people_mart_retention,regrettable_exits,UNJUSTIFIED,,,,voluntary AND job_level in IC4+/manager set,Regrettable exits,remove,"Regrettable definition is a hardcoded level set, not a source field. Reintroduce only with an approved mapping from Employee Grade."
people_mart_retention,regrettable_attrition_rate,UNJUSTIFIED,,,,regrettable_exits / beginning_headcount,Regrettable rate,remove,Depends on regrettable_exits.
people_mart_retention,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_retention,metric_id,CANONICAL_KEY,people_pipeline,people_metric_definition,voluntary_attrition,constant,Metric pointer,keep,
people_mart_internal_mobility,as_of_month,DERIVED,frappe_hr,Employee Transfer / Promotion,transfer_date / promotion_date,month of event_date,Month,change,Today uses sampled movement event_date.
people_mart_internal_mobility,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,,Org,change,
people_mart_internal_mobility,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_internal_mobility,promotions,DERIVED,frappe_hr,Employee Promotion,name,count event_type=promotion,Promotion count,change,"Must count Promotion source objects, not sampled rows."
people_mart_internal_mobility,lateral_moves,DERIVED,frappe_hr,Employee Transfer,transfer_details.property,count event_type=lateral,Lateral count,change,"A transfer is lateral vs promotion based on source object / designation change, not a random event_type."
people_mart_internal_mobility,internal_mobility_rate,DERIVED,frappe_hr,Transfer + Promotion,counts / headcount,division,Mobility rate,change,
people_mart_internal_mobility,headcount,DERIVED,frappe_hr,Employee,status,month-end HC,Denominator HC,keep,
people_mart_internal_mobility,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_internal_mobility,metric_id,CANONICAL_KEY,people_pipeline,people_metric_definition,internal_mobility_rate,constant,Metric pointer,keep,
people_mart_compensation_equity,as_of_month,DERIVED,frappe_hr,Salary Structure Assignment,from_date,month-end latest assignment,Month,change,
people_mart_compensation_equity,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_compensation_equity,location_id,SYNTHETIC_EXTENSION,frappe_hr,Branch,name,,Location,change,
people_mart_compensation_equity,median_base_usd,DERIVED,frappe_hr,Salary Structure Assignment,"base, currency",median of latest base_salary,Median base,change,Must convert via assignment.currency; generator forces USD.
people_mart_compensation_equity,mean_compa_ratio,UNJUSTIFIED,,,,latest_salary / job.base_salary,Compa ratio,change,job.base_salary is unjustified. Compa needs documented midpoint (Grade.default_base_pay or structure).
people_mart_compensation_equity,bls_median_wage,SOURCE_NATIVE,bls,OEWS series,value,lookup OEUN* series,BLS wage,keep,Live BLS publicAPI v2.
people_mart_compensation_equity,market_position_index,DERIVED,bls + frappe_hr,OEWS + assignment.base,"value, base",internal median / bls median,Market position,change,Valid after base is source-native.
people_mart_compensation_equity,provenance,CANONICAL_KEY,people_pipeline,,,derived,Provenance,keep,
people_mart_compensation_equity,metric_id,CANONICAL_KEY,people_pipeline,people_metric_definition,compa_ratio,constant,Metric pointer,keep,
people_mart_learning_adoption,as_of_month,DERIVED,frappe_hr,Training Event,end_time,month,Month,change,
people_mart_learning_adoption,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,,Org,change,
people_mart_learning_adoption,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_learning_adoption,learning_hours_per_employee,UNJUSTIFIED,,,,sum(hours)/headcount from invented hours,Hours / EE,remove,hours column has no Frappe source.
people_mart_learning_adoption,completion_rate,DERIVED,frappe_hr,Training Result / Training Event,employees vs completed,completions/enrollments,Completion rate,change,Valid after Training Result mapping.
people_mart_learning_adoption,participation_rate,DERIVED,frappe_hr,Training Event.employees,employee,enrolled workers / HC,Participation,change,
people_mart_learning_adoption,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_learning_adoption,metric_id,CANONICAL_KEY,people_pipeline,people_metric_definition,learning_hours_per_employee,constant,Metric pointer,change,Metric currently depends on unjustified hours.
people_mart_recruiting,as_of_week,DERIVED,greenhouse_v3,jobs / openings,opened_at,week grain,Week,change,
people_mart_recruiting,job_family,UNJUSTIFIED,,,,from internal job,Family,change,
people_mart_recruiting,location_id,SYNTHETIC_EXTENSION,greenhouse_v3,offices,id,,Location,change,
people_mart_recruiting,open_requisitions,DERIVED,greenhouse_v3,jobs / openings,status / closed_at,count status=open,Open reqs,change,"Count Greenhouse openings/jobs, not REQ rows."
people_mart_recruiting,time_to_fill_days,DERIVED,greenhouse_v3,openings / applications / offers,"opened_at, hired timestamps",hired_on - applied_on from hire_links,Time to fill,change,Must use opening.opened_at to hired application/offer accepted — not applied_on-21d.
people_mart_recruiting,offer_acceptance_rate,DERIVED,greenhouse_v3,offers,status / version,placeholder / unused in generator path,Offer accept rate,change,Requires offer status history. Not in current ATS tables.
people_mart_recruiting,time_in_stage_days,DERIVED,greenhouse_v3,application_stages,"exited_at, entered_at",mean consecutive stage_entered_on diffs or 11.0,Time in stage,change,"Must be timestamp_diff_hours/days(exited_at, entered_at). Default 11.0 is unjustified."
people_mart_recruiting,quality_of_hire_index,DERIVED,frappe_hr + greenhouse_v3,Employee.relieving_date + hired application,relieving_date,12-month survival of crosswalked hires,Quality of hire,change,Survival is a valid derivation only after real hire crosswalk. Current hire_links are sequential CAND ids.
people_mart_recruiting,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_recruiting,metric_id,CANONICAL_KEY,people_pipeline,people_metric_definition,time_to_fill,constant,Metric pointer,keep,
people_mart_skills,as_of_month,DERIVED,frappe_hr,Employee Skill,evaluation_date,month-end,Month,change,
people_mart_skills,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_skills,skill_id,SYNTHETIC_EXTENSION,frappe_hr,Skill,name,PEOPLE_SKILLS,Skill,change,
people_mart_skills,skill_name,SOURCE_NATIVE,frappe_hr,Skill,skill_name,lookup,Name,change,
people_mart_skills,workers_with_skill,DERIVED,frappe_hr,Employee Skill,skill,count,Coverage numerator,keep,
people_mart_skills,workers_in_family,DERIVED,frappe_hr,Employee,designation,count,Coverage denominator,change,
people_mart_skills,internal_coverage_rate,DERIVED,frappe_hr,Employee Skill,skill,division,Coverage,keep,
people_mart_skills,gap_rate,DERIVED,frappe_hr,Employee Skill,skill,1 - coverage,Gap,keep,
people_mart_skills,is_critical,UNJUSTIFIED,,,,"hardcoded {python,sql,cloud,data}",Critical skill flag,remove,"Not a source field. Reintroduce only with a governed list, not generator constants."
people_mart_skills,provenance,CANONICAL_KEY,people_pipeline,,,derived,Provenance,keep,
people_mart_skills,quality_status,CANONICAL_KEY,people_pipeline,,,healthy,Quality,keep,
people_mart_manager_effectiveness,as_of_month,DERIVED,frappe_hr,Employee,reports_to,month,Month,keep,
people_mart_manager_effectiveness,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,,Org,change,
people_mart_manager_effectiveness,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_manager_effectiveness,manager_count,DERIVED,frappe_hr,Employee,reports_to,count distinct managers,Manager count,keep,Valid from reports_to.
people_mart_manager_effectiveness,span_of_control,DERIVED,frappe_hr,Employee,reports_to,direct reports / managers,Span,keep,
people_mart_manager_effectiveness,manager_turnover_rate,DERIVED,frappe_hr,Employee,relieving_date where worker is manager,exits / manager_count,Manager turnover,keep,
people_mart_manager_effectiveness,engagement_score,UNJUSTIFIED,,,,avg engagement_score from unjustified survey,Engagement,remove,No engagement source contract. Serving already WARNs when empty.
people_mart_manager_effectiveness,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_manager_effectiveness,quality_status,CANONICAL_KEY,people_pipeline,,,healthy,Quality,keep,
people_mart_attrition_segment,as_of_month,DERIVED,frappe_hr,Employee,relieving_date,month,Month,keep,
people_mart_attrition_segment,job_family,UNJUSTIFIED,,,,,Family,change,
people_mart_attrition_segment,location_id,SYNTHETIC_EXTENSION,frappe_hr,Branch,name,,Location,change,
people_mart_attrition_segment,job_level,SYNTHETIC_EXTENSION,frappe_hr,Employee Grade,name,IC/M codes,Level,change,
people_mart_attrition_segment,tenure_band,DERIVED,frappe_hr,Employee,date_of_joining,years since hire,Tenure band,keep,Documented derivation.
people_mart_attrition_segment,voluntary_exits,DERIVED,frappe_hr,Employee,reason_for_leaving,count,Voluntary exits,change,
people_mart_attrition_segment,beginning_headcount,DERIVED,frappe_hr,Employee,date_of_joining / relieving_date,prior HC,Beginning HC,keep,
people_mart_attrition_segment,voluntary_attrition_rate,DERIVED,frappe_hr,Employee,exits/HC,division,Rate,keep,
people_mart_attrition_segment,median_base_usd,DERIVED,frappe_hr,Salary Structure Assignment,base,median,Pay,change,
people_mart_attrition_segment,quality_status,CANONICAL_KEY,people_pipeline,,,healthy,Quality,keep,
people_mart_attrition_segment,provenance,CANONICAL_KEY,people_pipeline,,,synthetic_internal,Provenance,change,
people_mart_skill_supply_demand,as_of_week,DERIVED,onet,,,week grain,Week,keep,
people_mart_skill_supply_demand,skill_id,SOURCE_NATIVE,onet / frappe_hr,Skill,name,,Skill,change,
people_mart_skill_supply_demand,occupation_id,SOURCE_NATIVE,onet,Occupation Data,O*NET-SOC Code,,Occupation,keep,
people_mart_skill_supply_demand,internal_coverage_rate,DERIVED,frappe_hr,Employee Skill,skill,coverage,Internal coverage,keep,
people_mart_skill_supply_demand,external_posting_count,UNJUSTIFIED,,,,JSearch leftover / unused,External postings,remove,Do not add JSearch. Field has no approved source.
people_mart_skill_supply_demand,provenance,CANONICAL_KEY,people_pipeline,,,derived,Provenance,keep,
people_mart_external_talent_market,snapshot_date,UNJUSTIFIED,,,,unused/empty path,Snapshot,remove,No approved commercial job-posting source. Do not backfill with JSearch.
people_mart_external_talent_market,company_id,UNJUSTIFIED,,,,people_dim_company,Company,remove,
people_mart_external_talent_market,job_family,UNJUSTIFIED,,,,,Family,remove,
people_mart_external_talent_market,open_jobs,UNJUSTIFIED,,,,,Open jobs,remove,
people_mart_external_talent_market,median_salary,UNJUSTIFIED,,,,,Median salary,remove,
people_mart_external_talent_market,provenance,CANONICAL_KEY,,,,,Provenance,remove,
people_external_learning_content,content_id,SOURCE_NATIVE,microsoft_learn,catalog,uid / id / url,identity,Catalog id,keep,Live Microsoft Learn catalog. Separate from internal Training Event.
people_external_learning_content,content_type,SOURCE_NATIVE,microsoft_learn,catalog,collection key,modules→module etc,Type,keep,
people_external_learning_content,title,SOURCE_NATIVE,microsoft_learn,catalog,title / name,identity,Title,keep,
people_external_learning_content,level,SOURCE_NESTED,microsoft_learn,catalog,levels[],join list,Level,keep,
people_external_learning_content,url,SOURCE_NATIVE,microsoft_learn,catalog,url,identity,URL,keep,
people_external_learning_content,provider,CANONICAL_KEY,microsoft_learn,,,constant microsoft_learn,Provider,keep,
people_external_learning_content,last_modified,SOURCE_NATIVE,microsoft_learn,catalog,last_modified / lastModified,identity,Source modified,keep,
people_external_learning_content,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,Ingested,keep,
people_external_learning_content,provenance,CANONICAL_KEY,microsoft_learn,,,live_public,Provenance,keep,
people_bronze.people_learn_catalog,content_id,SOURCE_NATIVE,microsoft_learn,catalog,uid,identity,Catalog id,keep,Already source-shaped. Add raw payload + ingestion_run_id.
people_bronze.people_bls_series,series_id,SOURCE_NATIVE,bls,publicAPI/v2,seriesID,identity,BLS series,keep,
people_bronze.people_bls_series,source_period,SOURCE_NATIVE,bls,publicAPI/v2,year + period,concat,Period,keep,
people_bronze.people_bls_series,value,SOURCE_NATIVE,bls,publicAPI/v2,value,identity,Observation,keep,
people_bronze.people_bls_series,metric,DERIVED,bls,publicAPI/v2,seriesID,local SERIES map,Metric label,keep,Documented series→metric map in people_bls.py.
people_bronze.people_bls_series,unit,DERIVED,bls,publicAPI/v2,seriesID,local SERIES map,Unit,keep,
people_bronze.people_onet.occupation,(O*NET text columns),SOURCE_NATIVE,onet,Occupation Data.txt,(file columns),identity,Occupation extract,keep,Bronze already mirrors db_31_0 files.
